"presence","longitude","latitude","wc2.1_2.5m_bio_1","wc2.1_2.5m_bio_10","wc2.1_2.5m_bio_11","wc2.1_2.5m_bio_12","wc2.1_2.5m_bio_13","wc2.1_2.5m_bio_14","wc2.1_2.5m_bio_15","wc2.1_2.5m_bio_16","wc2.1_2.5m_bio_17","wc2.1_2.5m_bio_18","wc2.1_2.5m_bio_19","wc2.1_2.5m_bio_2","wc2.1_2.5m_bio_3","wc2.1_2.5m_bio_4","wc2.1_2.5m_bio_5","wc2.1_2.5m_bio_6","wc2.1_2.5m_bio_7","wc2.1_2.5m_bio_8","wc2.1_2.5m_bio_9","species"
1,-120.4494426,45.4856783,11.3381671905518,21.1153335571289,2.01066660881042,242,37,6,49.8697700500488,106,25,28,94,13.0329999923706,38.5774345397949,776.765258789062,31.0919990539551,-2.69199991226196,33.7840003967285,2.56066656112671,20.7406673431396,"American Robin"
1,-121.5807045,42.9669021,6.15766668319702,14.9406661987305,-2.35400009155273,475,78,11,60.562068939209,225,46,50,199,17.0993328094482,45.961009979248,705.245727539062,28.011999130249,-9.19200038909912,37.2039985656738,-1.73400008678436,14.7399997711182,"American Robin"
1,-123.01459,45.0332435,11.6483335494995,18.4893341064453,5.35199975967407,1011,176,13,68.1621627807617,490,63,68,452,11.9499998092651,44.9586143493652,539.6806640625,27.7840003967285,1.2039999961853,26.5799999237061,5.69600009918213,18.3186664581299,"American Robin"
1,-122.7493272,45.5751494,11.2816667556763,18.1206665039062,4.71133327484131,1071,172,19,60.3170738220215,490,85,89,455,10.5806665420532,41.7613945007324,550.780883789062,26.1399993896484,0.804000020027161,25.3359985351562,5.15799999237061,18.0653343200684,"American Robin"
1,-122.8061444,45.8904398,10.8123331069946,17.253999710083,4.56933355331421,1329,213,23,60.9148292541504,611,106,112,567,10.9833335876465,43.6470069885254,519.563293457031,25.568000793457,0.404000014066696,25.1640014648438,5.0513334274292,17.1166667938232,"American Robin"
1,-117.785368,45.0229344,7.93383359909058,18.0446662902832,-1.8526668548584,334,38,18,24.4271335601807,102,62,77,92,15.1090002059937,39.844409942627,809.217346191406,30.2000007629395,-7.72000026702881,37.9200019836426,-1.14000010490417,17.7986660003662,"American Robin"
1,-121.8796982,42.6428545,6.80566644668579,15.4946670532227,-1.371333360672,569,97,9,64.7979354858398,278,46,50,246,15.8879995346069,45.0800132751465,693.834655761719,27.6399993896484,-7.60400009155273,35.2439994812012,-0.823333323001862,15.4246664047241,"American Robin"
1,-122.6292735,45.5405754,11.8421669006348,18.9979991912842,5.05599975585938,1048,166,19,58.417594909668,473,87,90,436,10.8549995422363,41.5709266662598,573.928466796875,27.2119998931885,1.10000002384186,26.1119995117188,5.43599987030029,18.9479999542236,"American Robin"
1,-119.049409,43.6754037,6.74983310699463,16.6313323974609,-2.75866675376892,297,41,11,37.6564331054688,113,40,40,104,15.5643329620361,40.5659217834473,790.548095703125,29.1040000915527,-9.26399993896484,38.3680000305176,-1.68666672706604,16.6313323974609,"American Robin"
1,-120.538002,42.196537,7.63466691970825,17.1140003204346,-1.24199986457825,397,50,12,40.3348197937012,146,44,51,139,15.3333330154419,42.5453186035156,753.323120117188,28.6440010070801,-7.39599990844727,36.0400009155273,-0.529333293437958,17.029333114624,"American Robin"
